taskset,deadline,#big,#little,energy_consumption,objective function value
low_n10_1_biglittle,14.196428571428571,2.0,2.0,62.19837678571429,62.19837678571429
low_n10_2_biglittle,18.571428571428573,1.0,7.0,139.8744559177741,139.8744559177741
low_n10_3_biglittle,19.46428571428571,3.0,2.0,101.46150803571427,101.46150803571427
low_n10_4_biglittle,15.98214285714286,2.0,3.0,86.78481686507938,86.78481686507938
low_n10_5_biglittle,17.767857142857142,1.0,6.0,117.13989978543744,117.13989978543744
low_n10_6_biglittle,16.07142857142857,3.0,1.0,83.03950535714286,83.03950535714286
low_n10_7_biglittle,19.375000000000004,2.0,4.0,122.72074880952383,122.72074880952383
low_n10_8_biglittle,11.696428571428571,2.0,6.0,92.42518762458472,92.42518762458472
low_n10_9_biglittle,15.803571428571429,1.0,7.0,122.16700686600223,122.16700686600223
low_n10_10_biglittle,17.142857142857142,0.9999999111709309,7.00000017148945,125.60350861601609,125.60350861601609
low_n20_1_biglittle,32.5,3.0,1.0,158.8882357142857,158.8882357142857
low_n20_2_biglittle,28.125,1.0,5.0,168.69937103174604,168.69937103174604
low_n20_3_biglittle,34.19642857142857,1.0,5.0,199.8704398255814,199.8704398255814
low_n20_4_biglittle,31.16071428571429,2.0,3.0,160.00258118263787,160.00258118263787
low_n20_5_biglittle,29.464285714285715,3.0,2.0,168.07509107142857,168.07509107142857
low_n20_6_biglittle,30.35714285714286,2.0,4.0,187.30869231727576,187.30869231727576
low_n20_7_biglittle,33.482142857142854,2.0,3.0,185.0863570305512,185.0863570305512
low_n20_8_biglittle,29.821428571428573,2.0,4.0,191.81709285714285,191.81709285714285
low_n20_9_biglittle,34.55357142857143,2.0,3.0,188.59889464285715,188.59889464285715
low_n20_10_biglittle,32.94642857142858,2.0,4.0,202.63423035714288,202.63423035714288
low_n40_1_biglittle,67.05357142857143,2.0,3.0,390.92507916666665,390.92507916666665
low_n40_2_biglittle,61.25,1.0,5.0,359.8253840116279,359.8253840116279
low_n40_3_biglittle,68.92857142857143,1.0,6.0,450.769874127907,450.769874127907
low_n40_4_biglittle,56.07142857142858,1.0,5.0,336.84089464285717,336.84089464285717
low_n40_5_biglittle,59.82142857142858,1.0,5.0,343.4908423380399,343.4908423380399
low_n40_6_biglittle,75.08928571428572,2.0,3.0,389.3383455357143,389.3383455357143
low_n40_7_biglittle,71.16071428571429,2.0,3.0,397.98291785714287,397.98291785714287
low_n40_8_biglittle,60.35714285714286,1.0,5.0,367.02047500000003,367.02047500000003
low_n40_9_biglittle,57.41071428571429,2.0,3.0,340.38984642857145,340.38984642857145
low_n40_10_biglittle,61.16071428571429,1.0,5.0,374.4149343023256,374.4149343023256
low_n80_1_biglittle,115.89285714285715,1.0,5.0,692.0554375,692.0554375
low_n80_2_biglittle,144.9107142857143,2.0,3.0,822.8214750000002,822.8214750000002
low_n80_3_biglittle,138.125,2.0,3.0,786.4593517857143,786.4593517857143
low_n80_4_biglittle,117.5,2.0,3.0,660.7821410714286,660.7821410714286
low_n80_5_biglittle,114.91071428571428,2.0,3.0,658.2905136904761,658.2905136904761
low_n80_6_biglittle,135.17857142857144,1.0,5.0,809.0317839285716,809.0317839285716
low_n80_7_biglittle,111.51785714285715,2.0,3.0,634.5218214285715,634.5218214285715
low_n80_8_biglittle,133.48214285714286,2.0,4.0,835.2606419642857,835.2606419642857
low_n80_9_biglittle,121.60714285714286,1.0,5.0,714.3854723214287,714.3854723214287
low_n80_10_biglittle,138.75,2.0,3.0,779.5798642857144,779.5798642857144
